# Black: EazyNoGo(MCTS+UCB+newRAVE)
# BlackCommand: EazyNoGo/eznogo38
# BlackLabel: EazyNoGo(MCTS+UCB+newRAVE)
# BlackVersion: 3.8
# Date: October 9, 2019 at 12:17:48 PM CST
# Host: linyantongs-MBP
# Komi: 6.5
# Referee: -
# Size: 9
# White: haha25_rn20_bn0
# WhiteCommand: HaHaNoGo/hahanogo
# WhiteLabel: haha25_rn20_bn0
# WhiteVersion: 
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	W+R	W+R	W+R	0	-	70	117.5	2.3	0	0	0	
1	W+R	W+R	W+R	0	-	70	117.4	2.2	0	0	0	
2	W+R	W+R	W+R	0	-	72	122.2	2.3	0	0	0	
3	W+R	W+R	W+R	0	-	70	122.2	2.4	0	0	0	
