# Black: EazyNoGo(MCTS+UCB+RAVE)
# BlackCommand: EazyNoGo/eazynogo-rave8
# BlackLabel: EazyNoGo(MCTS+UCB+RAVE)
# BlackVersion: 2.8
# Date: October 8, 2019 at 11:33:11 AM CST
# Host: linyantongs-MacBook-Pro.local
# Komi: 6.5
# Referee: -
# Size: 9
# White: EazyNoGo(MCTS+UCB)
# WhiteCommand: EazyNoGo/eazynogo-ucb4
# WhiteLabel: EazyNoGo(MCTS+UCB)
# WhiteVersion: 1.4
# Xml: 0
#
#GAME	RES_B	RES_W	RES_R	ALT	DUP	LEN	TIME_B	TIME_W	CPU_B	CPU_W	ERR	ERR_MSG
0	B+R	B+R	B+R	0	-	71	122.2	118.6	0	0	0	
1	W+R	W+R	W+R	0	-	72	122.6	119.4	0	0	0	
2	B+R	B+R	B+R	0	-	71	120	115.4	0	0	0	
3	B+R	B+R	B+R	0	-	71	126.2	121.3	0	0	0	
4	B+R	B+R	B+R	0	-	73	127.8	124.4	0	0	0	
